"Department","Province","District","Month","Year","IncidenceCount","X._Pop_1_NBI","X._Inadq_Housing","X._Overcrowding","X._Pop_No_Hygeine","X._High_Econ_Depend","X._Pop_No_pubwater","X._No_Light","X._Homes_Dirt_Floor","X._Homes_Firewood","X._no_computer","X._no_cellphone","X._no_internet","X._Homes_1_room","X._Difficulty_Moving","X._limited_interact_wothes","Illiteracy_Rate","Precipitation","Temperature","Wind_Speed","Wind_Direction_Degrees","Relative_Humidity"
"LIMA","LIMA","ATE","January",2019,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0.7,22.7851351351351,1.52806539509537,197.207084468665,86.1837837837838
"LIMA","LIMA","ATE","February",2019,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,1.6,23.4178571428571,1.56158536585366,200.853658536585,87.0464285714286
"LIMA","LIMA","ATE","March",2019,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,23.5516129032258,1.50147590772591,206.097085722086,86.7741935483871
"LIMA","LIMA","ATE","April",2019,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,22.1633333333333,1.43320506072766,202.372371820999,86.7233333333333
"LIMA","LIMA","ATE","May",2019,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,20.5741935483871,1.26676644664168,205.173847810237,87.6645161290323
"LIMA","LIMA","ATE","June",2019,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,17.9033333333333,1.2523923679847,208.540260173447,88.6466666666667
"LIMA","LIMA","ATE","July",2019,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0.1,15.2161290322581,1.00040322580645,171.081989247312,89.247311827957
"LIMA","LIMA","ATE","August",2019,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,15.505376344086,1.11397849462366,171.33064516129,83.2217741935484
"LIMA","LIMA","ATE","September",2019,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,1.7,16.5011111111111,1.38486111111111,162.475,82.525
"LIMA","LIMA","ATE","October",2019,0,0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013,0,17.2948924731183,1.61586021505376,165.783602150538,78.8427419354839
